layer,component,observations,input_dimension_hd,allocated_dimension_r_over_2,energy_at_r_over_2,energy_at_16,energy_at_32,energy_at_64,energy_at_128,rank_90,rank_95,rank_99,effective_rank
0,K,3200,256,64,0.8536535920013808,0.6022910967268075,0.733191619000022,0.8536535920013808,0.956561612470605,86,122,185,55.132962903393846
0,V,3200,256,64,0.772918065306594,0.5113587230245046,0.6452175575381965,0.772918065306594,0.9046995326225299,125,167,225,81.55081558351412
14,K,3200,256,64,0.9433590895483457,0.6512761067201709,0.8339488782007258,0.9433590895483457,0.9897089092804908,46,69,130,43.800274916226996
14,V,3200,256,64,0.809114197520678,0.5274702998934858,0.6680276475040658,0.809114197520678,0.9320411565068762,105,146,212,79.63508610256028
27,K,3200,256,64,0.9677617368013836,0.7565675904360458,0.8939276054274987,0.9677617368013836,0.995429424315297,34,51,102,29.022705380143773
27,V,3200,256,64,0.7951031408316451,0.4230545682276679,0.5937007742462002,0.7951031408316451,0.9887289994674353,91,108,131,89.4209811225955
