layer,cache,component,shape,numel,mean,std,min,max,abs_mean,rms,p01,p50,p99,zero_fraction,residual_to_receiver_rms
0,receiver,K,1x8x50x128,51200,0.1335158348083496,17.704513549804688,-494.0,520.0,3.0009586811065674,17.705015182495117,-8.625,0.0052490234375,9.0,0.0001367187505820766,
0,fused,K,1x8x50x128,51200,0.1335158348083496,17.704513549804688,-494.0,520.0,3.0009586811065674,17.705015182495117,-8.625,0.0052490234375,9.0,0.0001367187505820766,
0,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,receiver,V,1x8x50x128,51200,-0.0042080446146428585,0.14902237057685852,-2.484375,2.03125,0.10251037031412125,0.149081751704216,-0.3984375,-0.002410888671875,0.353515625,0.0,
0,fused,V,1x8x50x128,51200,-0.0042080446146428585,0.14902237057685852,-2.484375,2.03125,0.10251037031412125,0.149081751704216,-0.3984375,-0.002410888671875,0.353515625,0.0,
0,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,receiver,K,1x8x50x128,51200,-0.01986045390367508,11.513999938964844,-177.0,196.0,2.395905017852783,11.514018058776855,-8.5,-0.04248046875,8.0,0.0001367187505820766,
1,fused,K,1x8x50x128,51200,-0.01986045390367508,11.513999938964844,-177.0,196.0,2.395905017852783,11.514018058776855,-8.5,-0.04248046875,8.0,0.0001367187505820766,
1,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,receiver,V,1x8x50x128,51200,0.0003533820854499936,0.10843970626592636,-1.0390625,0.796875,0.0796409472823143,0.10844028741121292,-0.287109375,0.0005016326904296875,0.28125,0.0,
1,fused,V,1x8x50x128,51200,0.0003533820854499936,0.10843970626592636,-1.0390625,0.796875,0.0796409472823143,0.10844028741121292,-0.287109375,0.0005016326904296875,0.28125,0.0,
1,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,receiver,K,1x8x50x128,51200,0.2915639579296112,9.061012268066406,-158.0,186.0,2.0821127891540527,9.065701484680176,-7.3125,-0.001361846923828125,8.5,0.0001367187505820766,
2,fused,K,1x8x50x128,51200,0.2915639579296112,9.061012268066406,-158.0,186.0,2.0821127891540527,9.065701484680176,-7.3125,-0.001361846923828125,8.5,0.0001367187505820766,
2,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,receiver,V,1x8x50x128,51200,0.003259723773226142,0.15339535474777222,-5.3125,5.09375,0.10352881997823715,0.15342997014522552,-0.349609375,0.0031585693359375,0.361328125,0.0,
2,fused,V,1x8x50x128,51200,0.0016003948403522372,0.20942530035972595,-5.25,4.96875,0.13790032267570496,0.20943139493465424,-0.5078125,0.0023193359375,0.48828125,1.9531249563442543e-05,
2,fused_minus_receiver,V,1x8x50x128,51200,-0.0016580383526161313,0.13801102340221405,-2.703125,2.90625,0.07319924235343933,0.13802097737789154,-0.376953125,-0.0009765625,0.34765625,0.00624999962747097,0.8995698640053897
3,receiver,K,1x8x50x128,51200,-0.08717647194862366,4.903124809265137,-95.5,105.0,1.4942283630371094,4.903900146484375,-7.687812805175781,-0.00142669677734375,6.125,0.00021484374883584678,
3,fused,K,1x8x50x128,51200,-0.08309522271156311,5.013086318969727,-95.5,105.0,1.6658291816711426,5.013774871826172,-8.875,0.008636474609375,6.6875,7.812499825377017e-05,
3,fused_minus_receiver,K,1x8x50x128,51200,0.004091466777026653,0.9071885943412781,-8.125,7.6875,0.25780826807022095,0.9071978330612183,-4.03125,0.0,3.359375,0.3912695348262787,0.18499516832772214
3,receiver,V,1x8x50x128,51200,-0.007982829585671425,0.4222013056278229,-3.21875,2.640625,0.31331199407577515,0.42227673530578613,-1.1016407012939453,-0.005279541015625,1.0859375,0.0,
3,fused,V,1x8x50x128,51200,-0.007982829585671425,0.4222013056278229,-3.21875,2.640625,0.31331199407577515,0.42227673530578613,-1.1016407012939453,-0.005279541015625,1.0859375,0.0,
3,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,receiver,K,1x8x50x128,51200,-0.1375940442085266,7.81284236907959,-129.0,118.0,2.739604949951172,7.814054489135742,-16.25,0.012481689453125,15.1875,0.0001367187505820766,
4,fused,K,1x8x50x128,51200,-0.1093815490603447,7.859068870544434,-129.0,118.0,2.9161829948425293,7.859829902648926,-16.626251220703125,0.0274658203125,15.4375,7.812499825377017e-05,
4,fused_minus_receiver,K,1x8x50x128,51200,0.028204135596752167,1.1350175142288208,-10.1875,12.375,0.3214436173439026,1.1353679895401,-4.5625,0.0,4.5625,0.6861523389816284,0.1452981920101347
4,receiver,V,1x8x50x128,51200,-0.0032523295376449823,0.408901572227478,-3.3125,2.96875,0.3068085312843323,0.4089144468307495,-1.046875,-0.00177764892578125,1.0390625,0.0,
4,fused,V,1x8x50x128,51200,-0.0032523295376449823,0.408901572227478,-3.3125,2.96875,0.3068085312843323,0.4089144468307495,-1.046875,-0.00177764892578125,1.0390625,0.0,
4,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,receiver,K,1x8x50x128,51200,0.039161715656518936,8.948437690734863,-137.0,116.5,2.4803354740142822,8.948524475097656,-13.5,0.006134033203125,17.5,0.00025390624068677425,
5,fused,K,1x8x50x128,51200,0.09464286267757416,9.305633544921875,-137.0,123.5,3.108471632003784,9.306116104125977,-14.75,0.0374755859375,17.5,0.0,
5,fused_minus_receiver,K,1x8x50x128,51200,0.055506713688373566,2.282146692276001,-16.75,15.0625,0.9247756600379944,2.2828218936920166,-8.0,0.0,7.9375,0.3624023497104645,0.25510595629980704
5,receiver,V,1x8x50x128,51200,-0.0026467072311788797,0.48944172263145447,-11.8125,4.15625,0.362373948097229,0.4894488751888275,-1.2188282012939453,-0.0020904541015625,1.2734375,0.0,
5,fused,V,1x8x50x128,51200,-0.0026467072311788797,0.48944172263145447,-11.8125,4.15625,0.362373948097229,0.4894488751888275,-1.2188282012939453,-0.0020904541015625,1.2734375,0.0,
5,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
